state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
Rajasthan,,Rice,Kharif,2023,2.68,7.46,2786.00
Rajasthan,,Rice,Kharif,2024,3.54,9.18,2593.00
Rajasthan,,Rice,Kharif,2025,3.47,7.99,2299.00
Rajasthan,,Rice,Rabi,2021,,0.00,
Rajasthan,,Rice,Total,2021,1.96,4.79,2436.00
Rajasthan,,Rice,Total,2022,2.34,5.77,2464.00
Rajasthan,,Rice,Total,2023,2.68,7.46,2786.00
Rajasthan,,Rice,Total,2024,3.54,9.18,2593.00
Rajasthan,,Rice,Total,2025,3.47,7.99,2299.00
Sikkim,,Rice,Kharif,2021,0.09,0.16,1861.00
Sikkim,,Rice,Kharif,2022,0.08,0.10,1241.00
Sikkim,,Rice,Kharif,2023,0.06,0.08,1242.00
Sikkim,,Rice,Kharif,2024,0.06,0.08,1242.00
Sikkim,,Rice,Rabi,2021,,0.00,
Sikkim,,Rice,Total,2021,0.09,0.16,1861.00
Sikkim,,Rice,Total,2022,0.08,0.10,1241.00
Sikkim,,Rice,Total,2023,0.06,0.08,1242.00
Sikkim,,Rice,Total,2024,0.06,0.08,1242.00
Tamil Nadu,,Rice,Kharif,2021,20.24,70.51,3483.00
Tamil Nadu,,Rice,Kharif,2022,6.93,25.13,3627.00
Tamil Nadu,,Rice,Kharif,2023,6.80,20.90,3074.00
Tamil Nadu,,Rice,Kharif,2024,6.64,22.41,3375.00
Tamil Nadu,,Rice,Kharif,2025,7.50,26.40,3518.00
Tamil Nadu,,Rice,Rabi,2021,1.93,8.56,4436.00
Tamil Nadu,,Rice,Rabi,2022,12.68,42.56,3357.00
Tamil Nadu,,Rice,Rabi,2023,11.79,37.79,3204.00
Tamil Nadu,,Rice,Rabi,2024,12.21,37.96,3109.00
Tamil Nadu,,Rice,Rabi,2025,12.76,42.17,3305.00
Tamil Nadu,,Rice,Summer,2022,1.98,7.88,3975.00
Tamil Nadu,,Rice,Summer,2023,2.42,9.31,3839.00
Tamil Nadu,,Rice,Summer,2024,2.73,10.56,3874.00
Tamil Nadu,,Rice,Summer,2025,2.28,8.99,3942.00
Tamil Nadu,,Rice,Total,2021,22.17,79.07,3566.00
Tamil Nadu,,Rice,Total,2022,21.59,75.57,3500.00
Tamil Nadu,,Rice,Total,2023,21.02,67.99,3235.00
Tamil Nadu,,Rice,Total,2024,21.58,70.94,3288.00
Tamil Nadu,,Rice,Total,2025,22.54,77.55,3440.00
Telangana,,Rice,Kharif,2021,23.74,78.34,3300.00
Telangana,,Rice,Kharif,2022,25.41,88.87,3498.00
Telangana,,Rice,Kharif,2023,25.74,93.44,3630.00
Telangana,,Rice,Kharif,2024,24.87,90.54,3640.00
Telangana,,Rice,Kharif,2025,28.29,95.39,3372.00
Telangana,,Rice,Rabi,2021,12.81,45.75,3572.00
Telangana,,Rice,Rabi,2022,21.22,69.91,3295.00
Telangana,,Rice,Rabi,2023,21.11,75.30,3567.00
Telangana,,Rice,Rabi,2024,23.22,83.92,3614.00
Telangana,,Rice,Rabi,2025,25.14,89.90,3577.00
Telangana,,Rice,Total,2021,36.55,124.10,3395.00
Telangana,,Rice,Total,2022,46.62,158.77,3406.00
Telangana,,Rice,Total,2023,46.85,168.74,3602.00
Telangana,,Rice,Total,2024,48.09,174.46,3627.00
Telangana,,Rice,Total,2025,53.42,185.29,3468.00
Tripura,,Rice,Kharif,2021,1.91,5.85,3069.00
Tripura,,Rice,Kharif,2022,1.79,5.77,3218.00
Tripura,,Rice,Kharif,2023,1.79,5.77,3218.00
Tripura,,Rice,Kharif,2024,1.63,4.95,3043.00
Tripura,,Rice,Rabi,2021,0.65,2.26,3470.00
Tripura,,Rice,Rabi,2022,0.63,2.12,3391.00
Tripura,,Rice,Rabi,2023,0.63,2.12,3391.00
Tripura,,Rice,Rabi,2024,0.62,2.21,3557.00
Tripura,,Rice,Total,2021,2.56,8.11,3171.00
Tripura,,Rice,Total,2022,2.42,7.89,3263.00
Tripura,,Rice,Total,2023,2.42,7.89,3263.00
Tripura,,Rice,Total,2024,2.25,7.15,3185.00
Uttar Pradesh,,Rice,Kharif,2021,56.76,151.83,2675.00
Uttar Pradesh,,Rice,Kharif,2022,58.66,160.33,2733.00
Uttar Pradesh,,Rice,Kharif,2023,57.32,158.65,2768.00
Uttar Pradesh,,Rice,Kharif,2024,71.50,201.45,2817.00
Uttar Pradesh,,Rice,Kharif,2025,67.89,191.92,2827.00
Uttar Pradesh,,Rice,Rabi,2021,0.27,0.88,3268.00
Uttar Pradesh,,Rice,Summer,2022,0.32,1.10,3439.00
Uttar Pradesh,,Rice,Summer,2023,0.36,1.25,3474.00
Uttar Pradesh,,Rice,Summer,2024,2.00,6.14,3068.00
Uttar Pradesh,,Rice,Summer,2025,2.00,6.14,3068.00
Uttar Pradesh,,Rice,Total,2021,57.03,152.72,2678.00
Uttar Pradesh,,Rice,Total,2022,58.98,161.43,2737.00
Uttar Pradesh,,Rice,Total,2023,57.68,159.90,2772.00
Uttar Pradesh,,Rice,Total,2024,73.50,207.59,2824.00
Uttar Pradesh,,Rice,Total,2025,69.89,198.05,2834.00
Uttarakhand,,Rice,Kharif,2021,2.33,6.24,2680.00
Uttarakhand,,Rice,Kharif,2022,2.27,5.57,2453.00
Uttarakhand,,Rice,Kharif,2023,2.21,5.63,2552.00
Uttarakhand,,Rice,Kharif,2024,2.09,5.56,2667.00
Uttarakhand,,Rice,Kharif,2025,2.06,5.44,2642.00
Uttarakhand,,Rice,Rabi,2021,0.24,0.92,3817.00
Uttarakhand,,Rice,Summer,2022,0.22,0.78,3526.00
Uttarakhand,,Rice,Summer,2023,0.23,0.81,3571.00
Uttarakhand,,Rice,Summer,2024,0.07,0.29,3921.00
